"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Canada","11","Stocks","2007","Head","30000.00000","F "
"Cape Verde","11","Stocks","2007","Head","188115.00000",""
"Caribbean +","11","Stocks","2007","Head","3909586.00000","A "
"Cayman Islands","11","Stocks","2007","Head","270.00000","F "
"Central African Republic","11","Stocks","2007","Head","3087000.00000","F "
"Central America +","11","Stocks","2007","Head","9054937.00000","A "
"Central Asia +","11","Stocks","2007","Head","7463073.00000","A "
"Chad","11","Stocks","2007","Head","6096390.00000","F "
"Chile","11","Stocks","2007","Head","738542.00000",""
"China","11","Stocks","2007","Head","137871757.00000",""
"China, mainland","11","Stocks","2007","Head","137680000.00000",""
"Colombia","11","Stocks","2007","Head","1200000.00000","F "
"Comoros","11","Stocks","2007","Head","115000.00000","F "
"Congo","11","Stocks","2007","Head","295000.00000","F "
"Congo, Democratic Republic of","11","Stocks","2007","Head","4033980.00000",""
"Cook Islands","11","Stocks","2007","Head","1010.00000","F "
"Costa Rica","11","Stocks","2007","Head","5000.00000","F "
"Côte d'Ivoire","11","Stocks","2007","Head","945000.00000",""
"Croatia","11","Stocks","2007","Head","102877.00000",""
"Cuba","11","Stocks","2007","Head","1126100.00000",""
"Cyprus","11","Stocks","2007","Head","339000.00000",""
"Czech Republic","11","Stocks","2007","Head","16222.00000",""
"Djibouti","11","Stocks","2007","Head","512000.00000","F "
"Dominica","11","Stocks","2007","Head","9700.00000","F "
"Dominican Republic","11","Stocks","2007","Head","187500.00000","F "
"Eastern Africa +","11","Stocks","2007","Head","87836271.00000","A "
"Eastern Asia +","11","Stocks","2007","Head","156987904.00000","A "
"Eastern Europe +","11","Stocks","2007","Head","4585150.00000","A "
"Ecuador","11","Stocks","2007","Head","170750.00000",""
"Egypt","11","Stocks","2007","Head","3980000.00000",""
"El Salvador","11","Stocks","2007","Head","11000.00000","F "
"Equatorial Guinea","11","Stocks","2007","Head","9000.00000","F "
"Eritrea","11","Stocks","2007","Head","1720000.00000","F "
"Estonia","11","Stocks","2007","Head","3300.00000",""
"Ethiopia","11","Stocks","2007","Head","21709428.00000",""
"Europe +","11","Stocks","2007","Head","17926684.00000","A "
"European Union +","11","Stocks","2007","Head","13748637.00000","A "
"Fiji","11","Stocks","2007","Head","270000.00000","F "
"Finland","11","Stocks","2007","Head","6181.00000",""
"France","11","Stocks","2007","Head","1254000.00000",""
"French Guiana","11","Stocks","2007","Head","800.00000","F "
"French Polynesia","11","Stocks","2007","Head","16500.00000","F "
"Gabon","11","Stocks","2007","Head","91000.00000","F "
"Gambia","11","Stocks","2007","Head","280000.00000","F "
"Georgia","11","Stocks","2007","Head","92400.00000",""
"Germany","11","Stocks","2007","Head","180000.00000",""
"Ghana","11","Stocks","2007","Head","3704700.00000","F "
"Greece","11","Stocks","2007","Head","5401545.00000",""
"Grenada","11","Stocks","2007","Head","7200.00000","F "
"Guadeloupe","11","Stocks","2007","Head","48000.00000","F "
"Guam","11","Stocks","2007","Head","700.00000","F "
"Guatemala","11","Stocks","2007","Head","100867.00000",""
"Guinea","11","Stocks","2007","Head","1589367.00000",""
"Guinea-Bissau","11","Stocks","2007","Head","370730.00000",""
"Guyana","11","Stocks","2007","Head","79000.00000","F "
"Haiti","11","Stocks","2007","Head","1900000.00000","F "
"Honduras","11","Stocks","2007","Head","24500.00000","F "
"Hungary","11","Stocks","2007","Head","70000.00000",""
"Iceland","11","Stocks","2007","Head","524.00000",""
"India","11","Stocks","2007","Head","125456000.00000","F "
"Indonesia","11","Stocks","2007","Head","14470200.00000",""
"Iran, Islamic Republic of","11","Stocks","2007","Head","25531000.00000",""
"Iraq","11","Stocks","2007","Head","1650000.00000","F "
"Ireland","11","Stocks","2007","Head","7300.00000",""
"Israel","11","Stocks","2007","Head","87000.00000",""
"Italy","11","Stocks","2007","Head","955000.00000",""
"Jamaica","11","Stocks","2007","Head","440000.00000","F "
"Japan","11","Stocks","2007","Head","32000.00000","F "
"Jordan","11","Stocks","2007","Head","434000.00000","F "
"Kazakhstan","11","Stocks","2007","Head","2536600.00000",""
"Kenya","11","Stocks","2007","Head","13966000.00000",""
"Korea, Democratic People's Republic of","11","Stocks","2007","Head","3260000.00000","F "
"Korea, Republic of","11","Stocks","2007","Head","372447.00000",""
"Kuwait","11","Stocks","2007","Head","160000.00000","F "
"Kyrgyzstan","11","Stocks","2007","Head","849873.00000",""
"LandLocked developing countries +","11","Stocks","2007","Head","124466167.00000","A "
"Lao People's Democratic Republic","11","Stocks","2007","Head","230000.00000","F "
"Latvia","11","Stocks","2007","Head","14300.00000",""
"Least Developed Countries +","11","Stocks","2007","Head","257687911.00000","A "
"Lebanon","11","Stocks","2007","Head","495000.00000","F "
"Lesotho","11","Stocks","2007","Head","715000.00000","F "
"Liberia","11","Stocks","2007","Head","261600.00000","F "
"Libyan Arab Jamahiriya","11","Stocks","2007","Head","1265000.00000","F "
"Liechtenstein","11","Stocks","2007","Head","300.00000","F "
"Lithuania","11","Stocks","2007","Head","20800.00000",""
"Low Income Food Deficit Countries +","11","Stocks","2007","Head","713114793.00000","A "
"Luxembourg","11","Stocks","2007","Head","2814.00000",""
"Madagascar","11","Stocks","2007","Head","1250000.00000","F "
"Malawi","11","Stocks","2007","Head","2720126.00000",""
"Malaysia","11","Stocks","2007","Head","285000.00000","F "
"Mali","11","Stocks","2007","Head","9667000.00000","F "
"Malta","11","Stocks","2007","Head","5828.00000",""
"Martinique","11","Stocks","2007","Head","13500.00000","F "
"Mauritania","11","Stocks","2007","Head","5600000.00000","F "
"Mauritius","11","Stocks","2007","Head","91500.00000","F "
"Melanesia +","11","Stocks","2007","Head","293400.00000","A "
"Mexico","11","Stocks","2007","Head","8900000.00000","F "
"Micronesia +","11","Stocks","2007","Head","4800.00000","A "
"Micronesia, Federated States of","11","Stocks","2007","Head","4100.00000","F "
"Middle Africa +","11","Stocks","2007","Head","20077570.00000","A "
"Moldova","11","Stocks","2007","Head","111935.00000",""
"Mongolia","11","Stocks","2007","Head","15451700.00000",""
"Montserrat","11","Stocks","2007","Head","7100.00000","F "
"Morocco","11","Stocks","2007","Head","5283800.00000",""
"Mozambique","11","Stocks","2007","Head","5000000.00000","F "
"Myanmar","11","Stocks","2007","Head","2376287.00000",""
"Namibia","11","Stocks","2007","Head","2000000.00000","F "
"Nepal","11","Stocks","2007","Head","7847624.00000",""
"Net Food Importing Developing Countries +","11","Stocks","2007","Head","364302948.00000","A "
"Netherlands","11","Stocks","2007","Head","372600.00000","F "
"Netherlands Antilles","11","Stocks","2007","Head","13600.00000","F "
"New Caledonia","11","Stocks","2007","Head","8200.00000","F "
"New Zealand","11","Stocks","2007","Head","111981.00000",""
"Nicaragua","11","Stocks","2007","Head","7100.00000","F "
"Niger","11","Stocks","2007","Head","12155312.00000",""
"Nigeria","11","Stocks","2007","Head","52488200.00000",""
"Northern Africa +","11","Stocks","2007","Head","59013890.00000","A "
"Northern America +","11","Stocks","2007","Head","2964300.00000","A "
"Northern Europe +","11","Stocks","2007","Head","219392.00000","A "
"Norway","11","Stocks","2007","Head","71987.00000",""
"Occupied Palestinian Territory","11","Stocks","2007","Head","343565.00000",""
"Oceania +","11","Stocks","2007","Head","965315.00000","A "
"Oman","11","Stocks","2007","Head","1619990.00000",""
"Pakistan","11","Stocks","2007","Head","55244000.00000",""
"Panama","11","Stocks","2007","Head","6300.00000","F "
"Papua New Guinea","11","Stocks","2007","Head","3000.00000","F "
"Paraguay","11","Stocks","2007","Head","155000.00000","F "
"Peru","11","Stocks","2007","Head","1925912.00000",""
"Philippines","11","Stocks","2007","Head","7300000.00000","F "
"Poland","11","Stocks","2007","Head","143929.00000",""
"Polynesia +","11","Stocks","2007","Head","37110.00000","A "
"Portugal","11","Stocks","2007","Head","547410.00000",""
"Puerto Rico","11","Stocks","2007","Head","3200.00000","F "
"Qatar","11","Stocks","2007","Head","160000.00000","F "
"Réunion","11","Stocks","2007","Head","40280.00000",""
"Romania","11","Stocks","2007","Head","727000.00000",""
"Russian Federation","11","Stocks","2007","Head","2166536.00000",""
"Rwanda","11","Stocks","2007","Head","1300000.00000","F "
"Saint Helena","11","Stocks","2007","Head","1050.00000","F "
"Saint Kitts and Nevis","11","Stocks","2007","Head","7500.00000",""
"Saint Lucia","11","Stocks","2007","Head","8816.00000",""
"Saint Pierre and Miquelon","11","Stocks","2007","Head","0.00000","NR"
"Saint Vincent and Grenadines","11","Stocks","2007","Head","7300.00000","F "
"Sao Tome and Principe","11","Stocks","2007","Head","5200.00000","F "
"Saudi Arabia","11","Stocks","2007","Head","2200000.00000","F "
"Senegal","11","Stocks","2007","Head","4353030.00000",""
"Serbia","11","Stocks","2007","Head","149000.00000",""
"Seychelles","11","Stocks","2007","Head","5200.00000","F "
"Sierra Leone","11","Stocks","2007","Head","540000.00000","F "
"Singapore","11","Stocks","2007","Head","600.00000","F "
"Slovakia","11","Stocks","2007","Head","38352.00000",""
"Slovenia","11","Stocks","2007","Head","27798.00000",""
"Small Island Developing States +","11","Stocks","2007","Head","5141741.00000","A "
"Somalia","11","Stocks","2007","Head","12700000.00000","F "
"South Africa","11","Stocks","2007","Head","6265380.00000",""
"South America +","11","Stocks","2007","Head","21191834.00000","A "
"South-Eastern Asia +","11","Stocks","2007","Head","26832407.00000","A "
"Southern Africa +","11","Stocks","2007","Head","11216380.00000","A "
"Southern Asia +","11","Stocks","2007","Head","272384224.00000","A "
"Southern Europe +","11","Stocks","2007","Head","11153739.00000","A "
"Spain","11","Stocks","2007","Head","2891574.00000",""
"Sri Lanka","11","Stocks","2007","Head","388600.00000",""
"Sudan","11","Stocks","2007","Head","42987000.00000",""
"Suriname","11","Stocks","2007","Head","7100.00000","F "
"Swaziland","11","Stocks","2007","Head","276000.00000","F "
"Switzerland","11","Stocks","2007","Head","79081.00000",""
"Syrian Arab Republic","11","Stocks","2007","Head","1561260.00000",""
"Tajikistan","11","Stocks","2007","Head","1202300.00000",""
"Tanzania, United Republic of","11","Stocks","2007","Head","12550000.00000","F "
"Thailand","11","Stocks","2007","Head","310000.00000","F "
"The former Yugoslav Republic of Macedonia","11","Stocks","2007","Head","126452.00000",""
"Timor-Leste","11","Stocks","2007","Head","80000.00000","F "
"Togo","11","Stocks","2007","Head","1499000.00000","F "
"Tonga","11","Stocks","2007","Head","12600.00000","F "
"Trinidad and Tobago","11","Stocks","2007","Head","60000.00000","F "
"Tunisia","11","Stocks","2007","Head","1550650.00000",""
"Turkey","11","Stocks","2007","Head","6286358.00000",""
"Turkmenistan","11","Stocks","2007","Head","900000.00000",""
"Tuvalu","11","Stocks","2007","Head","0.00000","NR"
"Uganda","11","Stocks","2007","Head","8275020.00000",""
"Ukraine","11","Stocks","2007","Head","692500.00000",""
"United Arab Emirates","11","Stocks","2007","Head","1570000.00000","F "
"United Kingdom","11","Stocks","2007","Head","95000.00000",""
"United States of America","11","Stocks","2007","Head","2934000.00000",""
"Uruguay","11","Stocks","2007","Head","16000.00000","F "
"US Virgin Islands","11","Stocks","2007","Head","4100.00000","F "
"Uzbekistan","11","Stocks","2007","Head","1974300.00000",""
"Vanuatu","11","Stocks","2007","Head","12200.00000","F "
"Venezuela, Bolivarian Republic of","11","Stocks","2007","Head","1426259.00000",""
"Viet Nam","11","Stocks","2007","Head","1777600.00000",""
"Wallis and Futuna Islands","11","Stocks","2007","Head","7000.00000","F "
"Western Africa +","11","Stocks","2007","Head","106511004.00000","A "
"Western Asia +","11","Stocks","2007","Head","26056304.00000","A "
"Western Europe +","11","Stocks","2007","Head","1968403.00000","A "
"Western Sahara","11","Stocks","2007","Head","173000.00000","F "
"World +","11","Stocks","2007","Head","830391683.00000","A "
"Yemen","11","Stocks","2007","Head","8414000.00000",""
"Zambia","11","Stocks","2007","Head","1275000.00000","F "
"Zimbabwe","11","Stocks","2007","Head","3000000.00000","F "

"fnSeqID","Footnote"
"* ","Unofficial figure"
"A ","May include official, semi-official or estimated data"
"F ","FAO Estimate"
"NR","Not reported by country"
